score	q-value	spline	type
5.99006	6.60153e-05	1.47837e-17	0
5.87565	6.60153e-05	3.13194e-17	0
5.69785	6.60153e-05	1.00581e-16	0
5.60379	6.60153e-05	1.86456e-16	0
5.54252	6.60153e-05	2.78729e-16	0
5.54024	6.60153e-05	2.82935e-16	0
5.47458	6.60153e-05	4.3531e-16	0
5.19411	6.60153e-05	2.74231e-15	0
5.18245	6.60153e-05	2.96037e-15	0
5.13767	6.60153e-05	3.97131e-15	0
5.13728	6.60153e-05	3.98152e-15	0
5.13646	6.60153e-05	4.00314e-15	0
5.10702	6.60153e-05	4.85605e-15	0
5.1033	6.60153e-05	4.97631e-15	0
5.10053	6.60153e-05	5.06749e-15	0
5.08942	6.60153e-05	5.45055e-15	0
5.06928	6.60153e-05	6.22081e-15	0
5.05906	6.60153e-05	6.65233e-15	0
5.05402	6.60153e-05	6.87593e-15	0
5.03414	6.60153e-05	7.8341e-15	0
4.96275	6.60153e-05	1.25153e-14	0
4.92033	6.60153e-05	1.65325e-14	0
4.9125	6.60153e-05	1.74033e-14	0
4.89559	6.60153e-05	1.94457e-14	0
4.85706	6.60153e-05	2.50405e-14	0
4.83885	6.60153e-05	2.82181e-14	0
4.82013	6.60153e-05	3.19065e-14	0
4.80562	6.60153e-05	3.50934e-14	0
4.80462	6.60153e-05	3.53261e-14	0
4.8034	6.60153e-05	3.56098e-14	0
4.79727	6.60153e-05	3.70699e-14	0
4.795	6.60153e-05	3.76264e-14	0
4.77658	6.60153e-05	4.24612e-14	0
4.77473	6.60153e-05	4.29811e-14	0
4.76819	6.60153e-05	4.48653e-14	0
4.75131	6.60153e-05	5.01215e-14	0
4.72478	6.60153e-05	5.96512e-14	0
4.71747	6.60153e-05	6.25807e-14	0
4.71723	6.60153e-05	6.26811e-14	0
4.71569	6.60153e-05	6.33152e-14	0
4.70997	6.60153e-05	6.57372e-14	0
4.7095	6.60153e-05	6.59433e-14	0
4.70634	6.60153e-05	6.73229e-14	0
4.69805	6.60153e-05	7.10896e-14	0
4.69406	6.60153e-05	7.29712e-14	0
4.6736	6.60153e-05	8.34569e-14	0
4.6716	6.60153e-05	8.45636e-14	0
4.6233	6.60153e-05	1.16097e-13	0
4.61406	6.60153e-05	1.23355e-13	0
4.60366	6.60153e-05	1.32062e-13	0
4.60014	6.60153e-05	1.35151e-13	0
4.59413	6.60153e-05	1.40587e-13	0
4.58191	6.60153e-05	1.52328e-13	0
4.58164	6.60153e-05	1.52596e-13	0
4.57315	6.60153e-05	1.61334e-13	0
4.57256	6.60153e-05	1.61964e-13	0
4.56494	6.60153e-05	1.70264e-13	0
4.55471	6.60153e-05	1.82095e-13	0
4.55329	6.60153e-05	1.838e-13	0
4.54422	6.60153e-05	1.95068e-13	0
4.5174	6.60153e-05	2.32601e-13	0
4.51417	6.60153e-05	2.37586e-13	0
4.49941	6.60153e-05	2.61748e-13	0
4.49843	6.60153e-05	2.6343e-13	0
4.48882	6.60153e-05	2.80592e-13	0
4.48832	6.60153e-05	2.81509e-13	0
4.48106	6.60153e-05	2.95246e-13	0
4.47543	6.60153e-05	3.06364e-13	0
4.45921	6.60153e-05	3.40758e-13	0
4.45591	6.60153e-05	3.48221e-13	0
4.45283	6.60153e-05	3.5533e-13	0
4.44903	6.60153e-05	3.64301e-13	0
4.44621	6.60153e-05	3.71112e-13	0
4.44603	6.60153e-05	3.71545e-13	0
4.43972	6.60153e-05	3.87253e-13	0
4.43027	6.60153e-05	4.12029e-13	0
4.42788	6.60153e-05	4.18542e-13	0
4.42461	6.60153e-05	4.27603e-13	0
4.42239	6.60153e-05	4.33881e-13	0
4.4191	6.60153e-05	4.43363e-13	0
4.41588	6.60153e-05	4.5284e-13	0
4.41324	6.60153e-05	4.60732e-13	0
4.4096	6.60153e-05	4.71868e-13	0
4.40208	6.60153e-05	4.95753e-13	0
4.40087	6.60153e-05	4.9969e-13	0
4.4002	6.60153e-05	5.01903e-13	0
4.39883	6.60153e-05	5.06416e-13	0
4.39793	6.60153e-05	5.0943e-13	0
4.3947	6.60153e-05	5.20333e-13	0
4.39382	6.60153e-05	5.23354e-13	0
4.39334	6.60153e-05	5.25008e-13	0
4.39005	6.60153e-05	5.36474e-13	0
4.38509	6.60153e-05	5.54199e-13	0
4.38261	6.60153e-05	5.63298e-13	0
4.37722	6.60153e-05	5.8358e-13	0
4.37714	6.60153e-05	5.8388e-13	0
4.37664	6.60153e-05	5.85817e-13	0
4.37463	6.60153e-05	5.93589e-13	0
4.36995	6.60153e-05	6.12098e-13	0
4.35867	6.60153e-05	6.59111e-13	0
4.35093	6.60153e-05	6.9349e-13	0
4.34772	6.60153e-05	7.08245e-13	0
4.34606	6.60153e-05	7.15978e-13	0
4.33573	6.60153e-05	7.66184e-13	0
4.33537	6.60153e-05	7.68044e-13	0
4.3321	6.60153e-05	7.84675e-13	0
4.33084	6.60153e-05	7.91183e-13	0
4.32774	6.60153e-05	8.07446e-13	0
4.32018	6.60153e-05	8.48496e-13	0
4.31407	6.60153e-05	8.83202e-13	0
4.30887	6.60153e-05	9.13902e-13	0
4.30865	6.60153e-05	9.15208e-13	0
4.30843	6.60153e-05	9.1655e-13	0
4.29745	6.60153e-05	9.84998e-13	0
4.29502	6.60153e-05	1.00085e-12	0
4.29407	6.60153e-05	1.00706e-12	0
4.29317	6.60153e-05	1.01307e-12	0
4.28905	6.60153e-05	1.04085e-12	0
4.28518	6.60153e-05	1.0676e-12	0
4.28012	6.60153e-05	1.10364e-12	0
4.27993	6.60153e-05	1.10499e-12	0
4.27459	6.60153e-05	1.14444e-12	0
4.27235	6.60153e-05	1.16137e-12	0
4.27062	6.60153e-05	1.17464e-12	0
4.26982	6.60153e-05	1.18084e-12	0
4.26845	6.60153e-05	1.19146e-12	0
4.24815	6.60153e-05	1.36126e-12	0
4.2476	6.60153e-05	1.36621e-12	0
4.24693	6.60153e-05	1.37219e-12	0
4.24356	6.60153e-05	1.40282e-12	0
4.23334	6.60153e-05	1.50016e-12	0
4.23191	6.60153e-05	1.51428e-12	0
4.23057	6.60153e-05	1.52767e-12	0
4.22813	6.60153e-05	1.55239e-12	0
4.22353	6.60153e-05	1.59992e-12	0
4.22235	6.60153e-05	1.61235e-12	0
4.21522	6.60153e-05	1.68957e-12	0
4.21472	6.60153e-05	1.69514e-12	0
4.20989	6.60153e-05	1.74972e-12	0
4.20886	6.60153e-05	1.76161e-12	0
4.20597	6.60153e-05	1.79537e-12	0
4.20375	6.60153e-05	1.82166e-12	0
4.20336	6.60153e-05	1.82627e-12	0
4.20242	6.60153e-05	1.83768e-12	0
4.19924	6.60153e-05	1.87633e-12	0
4.19865	6.60153e-05	1.88361e-12	0
4.19816	6.60153e-05	1.88973e-12	0
